"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","60","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","15856","0.0-1.0","15794","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","enter","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","16305","0.0-2.0","448","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     ","enter","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","16305","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","21531","0.0-3.0-1.0","5224","","{""Q0"":""13""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","23110","0.0-3.0-2.0","1577","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","27293","0.0-3.0-3.0","4182","","{""Q0"":""2002""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","29558","0.0-3.0-4.0","2265","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","106717","0.0-4.0","77156","","","","85.6","53.98","374.70922055880715","4.3785082954799845","653.51","7.494184411176143","50","0.9660824451027552","23.94","12.42","","","","","","","","","","","",""
"true","","","","","fullscreen","9","109897","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","192984","0.0-6.0","83087","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":2460},{""page_index"":1,""viewing_time"":56700},{""page_index"":2,""viewing_time"":5490},{""page_index"":3,""viewing_time"":18437}]","","","","","","","","","","",""
"","","","","","psychophysics","11","195504","0.0-7.0-0.0","null","","null","","","","","","","","","","","","","key","null","16.65319463087249","650.8014241391193","362.34725125245757","f","false","img/H_ambi40.png","生人","prac",""
"","","","","","html-keyboard-response","12","196020","0.0-7.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","198534","0.0-7.0-0.1","null","","null","","","","","","","","","","","","","key","null","16.653040268456472","650.8014241391193","362.34725125245757","f","false","img/T_ambi40.png","をる","prac",""
"","","","","","html-keyboard-response","14","199048","0.0-7.0-1.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","201566","0.0-7.0-0.2","null","","null","","","","","","","","","","","","","key","null","16.573657718120845","650.8014241391193","362.34725125245757","f","false","img/T_ambi40.png","をる","prac",""
"","","","","","html-keyboard-response","16","202083","0.0-7.0-1.2","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","17","204596","0.0-7.0-0.3","null","","null","","","","","","","","","","","","","key","null","16.652785234899422","650.8014241391193","362.34725125245757","j","false","img/S_ambi40.png","生人","prac",""
"","","","","","html-keyboard-response","18","205105","0.0-7.0-1.3","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","19","206988","0.0-7.0-0.4","881","","f","","","","","","","","","","","","","key","f","16.652875000000027","650.8014241391193","362.34725125245757","j","false","img/H_ambi40.png","朋友","prac",""
"","","","","","html-keyboard-response","20","207499","0.0-7.0-1.4","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","21","209485","0.0-7.0-0.5","981","","j","","","","","","","","","","","","","key","j","16.653059322033787","650.8014241391193","362.34725125245757","f","false","img/C_ambi40.png","朋友","prac",""
"","","","","","html-keyboard-response","22","209989","0.0-7.0-1.5","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","23","211831","0.0-7.0-0.6","807","","f","","","","","","","","","","","","","key","f","16.65310909090913","650.8014241391193","362.34725125245757","f","true","img/T_ambi40.png","をる","prac",""
"","","","","","html-keyboard-response","24","212336","0.0-7.0-1.6","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","25","214698","0.0-7.0-0.7","1360","","j","","","","","","","","","","","","","key","j","16.65348226950357","650.8014241391193","362.34725125245757","j","true","img/C_ambi40.png","自我","prac",""
"","","","","","html-keyboard-response","26","215212","0.0-7.0-1.7","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","27","216961","0.0-7.0-0.8","743","","f","","","","","","","","","","","","","key","f","16.652865384615254","650.8014241391193","362.34725125245757","f","true","img/C_ambi40.png","生人","prac",""
