"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","361","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","72906","0.0-1.0","72543","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","enter","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","74006","0.0-2.0","1100","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     ","enter","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","74007","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","77544","0.0-3.0-1.0","3515","","{""Q0"":""21""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","79106","0.0-3.0-2.0","1561","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","81973","0.0-3.0-3.0","2865","","{""Q0"":""2003""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","84449","0.0-3.0-4.0","2476","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","126552","0.0-4.0","42101","","","","85.6","53.98","424.89236473290487","4.968142493882143","576.09","8.497847294658097","50","0.9037582970957585","29.64","14.28","","","","","","","","","","","",""
"true","","","","","fullscreen","9","129013","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","151951","0.0-6.0","22937","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":5457},{""page_index"":1,""viewing_time"":8706},{""page_index"":2,""viewing_time"":3400},{""page_index"":1,""viewing_time"":2146},{""page_index"":2,""viewing_time"":1817},{""page_index"":3,""viewing_time"":1412}]","","","","","","","","","","",""
"","","","","","psychophysics","11","153436","0.0-7.0-0.0-0.0","482","","f","","","","","","","","","","","","","key","f","16.687670454545614","768","428","j","false","img/S_ambi40.png","生人","prac",""
"","","","","","html-keyboard-response","12","153937","0.0-7.0-0.0-1.0","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","155227","0.0-7.0-0.0-0.1","288","","j","","","","","","","","","","","","","key","j","16.681210526315752","768","428","j","true","img/S_ambi40.png","生人","prac",""
"","","","","","html-keyboard-response","14","155729","0.0-7.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","157028","0.0-7.0-0.0-0.2","298","","f","","","","","","","","","","","","","key","f","16.67657894736859","768","428","f","true","img/S_ambi40.png","朋友","prac",""
"","","","","","html-keyboard-response","16","157529","0.0-7.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","17","158838","0.0-7.0-0.0-0.3","308","","f","","","","","","","","","","","","","key","f","16.679974025973745","768","428","j","false","img/H_ambi40.png","自我","prac",""
"","","","","","html-keyboard-response","18","159339","0.0-7.0-0.0-1.3","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","19","160559","0.0-7.0-0.0-0.4","219","","j","","","","","","","","","","","","","key","j","16.682250000000042","768","428","f","false","img/C_ambi40.png","生人","prac",""
"","","","","","html-keyboard-response","20","161060","0.0-7.0-0.0-1.4","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","21","162250","0.0-7.0-0.0-0.5","174","","j","","","","","","","","","","","","","key","j","16.68315714285709","768","428","f","false","img/H_ambi40.png","朋友","prac",""
"","","","","","html-keyboard-response","22","162752","0.0-7.0-0.0-1.5","null","<span style='color:yellow; font-size: 70px;'>过快! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
