"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","31199","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","100673","0.0-1.0","69472","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","shift","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","100726","0.0-2.0","52","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     ","control","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","100727","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","104703","0.0-3.0-1.0","3974","","{""Q0"":""27""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","106584","0.0-3.0-2.0","1878","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","115534","0.0-3.0-3.0","8949","","{""Q0"":""2002""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","118463","0.0-3.0-4.0","2928","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","366030","0.0-4.0","247556","","","","85.6","53.98","429.2350582184639","5.0115476212208945","570.24","8.584701164369278","50","0.8759769100888088","27.32","12.5","","","","","","","","","","","",""
"true","","","","","fullscreen","9","374809","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","433380","0.0-6.0","58568","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":6290},{""page_index"":1,""viewing_time"":45479},{""page_index"":2,""viewing_time"":3206},{""page_index"":3,""viewing_time"":3592}]","","","","","","","","","","",""
"","","","","","psychophysics","11","435893","0.0-7.0-0.0-0.0","null","","null","","","","","","","","","","","","","key","null","16.666000000000157","683","380","f","false","img/H_ambi40.png","生人","prac",""
"","","","","","html-keyboard-response","12","436403","0.0-7.0-0.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","438908","0.0-7.0-0.0-0.1","null","","null","","","","","","","","","","","","","key","null","16.66599999999998","683","380","j","false","img/C_ambi40.png","朋友","prac",""
"","","","","","html-keyboard-response","14","439411","0.0-7.0-0.0-1.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","440883","0.0-7.0-0.0-0.2","470","","f","","","","","","","","","","","","","key","f","16.666000000000146","683","380","j","false","img/H_ambi40.png","自我","prac",""
"","","","","","html-keyboard-response","16","441387","0.0-7.0-0.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","17","443891","0.0-7.0-0.0-0.3","null","","null","","","","","","","","","","","","","key","null","16.665999999999766","683","380","j","false","img/T_ambi40.png","をる","prac",""
