subj_idx,A_B,friend_match,self_match,stranger_match,friend_mismatch,self_mismatch,stranger_mismatch,,self_dif,friend_dif,stranger_dif,,A_self_dif,A_friend_dif,A_stranger_dif,B_self_dif,B_friend_dif,B_stranger_dif
1,A,695.6509434,651.0377358,808.98,850.2205882,825.8333333,842.6875,,174.7955975,154.5696448,33.7075,,174.7955975,154.5696448,33.7075,139.9713453,2.885869565,5.645390071
2,A,665.2952381,801.36,776.3762376,883.1956522,887.2272727,915.4393939,,85.86727273,217.9004141,139.0631563,,85.86727273,217.9004141,139.0631563,72.86780852,22.4246824,3.203040363
3,A,646.7075472,590.1121495,692.9072165,718.969697,690.1617647,709.028169,,100.0496152,72.2621498,16.12095252,,100.0496152,72.2621498,16.12095252,65.93881794,35.56061356,0.406174334
4,A,852.8235294,817.7065217,875.6568627,999.9137931,1001.516667,949.5373134,,183.8101449,147.0902637,73.88045069,,183.8101449,147.0902637,73.88045069,70.64636004,30.73473684,33.55208333
5,A,702.9072165,854.5280899,720.1764706,948.9574468,937.3272727,883.4693878,,82.79918284,246.0502303,163.2929172,,82.79918284,246.0502303,163.2929172,39.7220978,59.00672305,26.51812953
6,A,730.07,707.255102,813.3663366,834.3214286,789.9365079,813.5,,82.6814059,104.2514286,0.133663366,,82.6814059,104.2514286,0.133663366,63.61632653,18.55744048,52.40853854
7,A,667.6860465,608.2970297,769.609375,772.7,787.9375,761.0526316,,179.6404703,105.0139535,8.556743421,,179.6404703,105.0139535,8.556743421,133.30497,0.484786604,68.21590909
8,A,778.2314815,730.7714286,874.6153846,856.3380282,879.8857143,864.7826087,,149.1142857,78.10654669,9.83277592,,149.1142857,78.10654669,9.83277592,82.4061559,32.91043478,65.40285205
9,A,822.6336634,851.5714286,959.628866,974.8709677,999.0491803,1014.59322,,147.4777518,152.2373044,54.96435436,,147.4777518,152.2373044,54.96435436,88.59376812,132.6868687,29.9084174
10,A,618.6372549,614.3076923,645.8942308,766.2833333,808.7021277,785.4074074,,194.3944354,147.6460784,139.5131766,,194.3944354,147.6460784,139.5131766,88.00747863,70.03253182,36.47070707
11,A,746.7826087,684.1836735,814.9534884,748.5909091,790.1449275,719.9846154,,105.9612541,1.808300395,94.96887299,,105.9612541,1.808300395,94.96887299,48.62096774,95.37333333,10.52777778
12,A,643.3673469,605.54,616.8316832,746.637931,791.3636364,773.8615385,,185.8236364,103.2705841,157.0298553,,185.8236364,103.2705841,157.0298553,17.47424242,121.7035052,187.9545455
13,A,845.1212121,646.5471698,874.3296703,900.2089552,858.5166667,895,,211.9694969,55.0877431,20.67032967,,211.9694969,55.0877431,20.67032967,83.98045415,135.6757701,59.48373409
14,A,845.1935484,663.6635514,795.8598131,881.5862069,815.6086957,851.7714286,,151.9451443,36.39265851,55.91161549,,151.9451443,36.39265851,55.91161549,43.74377828,35.72580645,3.534339148
15,A,558.5769231,577.8076923,604.2307692,670.4347826,655.2857143,624.05,,77.47802198,111.8578595,19.81923077,,77.47802198,111.8578595,19.81923077,111.6685594,1.364948454,52.69102564
16,A,763.9223301,619.7962963,787.7113402,866.0153846,858.9166667,923.4923077,,239.1203704,102.0930545,135.7809675,,239.1203704,102.0930545,135.7809675,57.9157839,21.18346253,40.10440252
17,A,814.247191,801.9186047,809.2588235,923.244898,928.3269231,876.2264151,,126.4083184,108.9977069,66.96759156,,126.4083184,108.9977069,66.96759156,181.7182622,68.29692892,46.02882206
18,A,1183.595238,1064.14,1145.988636,1191.213115,1196.466667,1195.915254,,132.3266667,7.617876659,49.92661787,,132.3266667,7.617876659,49.92661787,165.7342668,53.18640351,21.67201426
19,A,896.8604651,740.6315789,845.38,912.4920635,875.9710145,930.6451613,,135.3394355,15.63159838,85.26516129,,135.3394355,15.63159838,85.26516129,132.0756775,59.65107252,4.947712418
20,A,664.8039216,649.0485437,683.72,759.1875,766.6774194,785.2741935,,117.6288757,94.38357843,101.5541935,,117.6288757,94.38357843,101.5541935,1.592638544,36.96264368,48.94277108
21,A,604.6021505,573.8252427,631.8941176,674.2413793,629.1774194,666.0615385,,55.35217664,69.63922877,34.16742081,,55.35217664,69.63922877,34.16742081,115.5822595,196.1416667,34.50362404
