"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","552","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","54015","0.0-1.0","53461","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","55307","0.0-2.0","1291","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","55309","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","58318","0.0-3.0-1.0","3009","","{""Q0"":""9""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","59192","0.0-3.0-2.0","873","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","65054","0.0-3.0-3.0","5861","","{""Q0"":""2000""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","70106","0.0-3.0-4.0","5050","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","232577","0.0-4.0","162467","","","","85.6","53.98","400.61881769790364","4.6776799452795","611.12","8.012376353958073","50","0.8786407039557342","26.02","13.76","","","","","","","","","","","",""
"true","","","","","fullscreen","9","237560","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","286049","0.0-6.0","48487","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":4020},{""page_index"":1,""viewing_time"":33787},{""page_index"":2,""viewing_time"":4353},{""page_index"":3,""viewing_time"":6325}]","","","","","","","","","","",""
"","","","","","psychophysics","11","288590","0.0-7.0-0.0","null","","null","","","","","","","","","","","","","key","null","22.93196330275205","673.3333558645869","374.736854644804","j","false","img/S_ambi40.png","生人","prac",""
"","","","","","html-keyboard-response","12","289100","0.0-7.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","291616","0.0-7.0-0.1","null","","null","","","","","","","","","","","","","key","null","22.217774774774337","673.3333558645869","374.736854644804","j","false","img/T_ambi40.png","をる","prac",""
"","","","","","html-keyboard-response","14","292156","0.0-7.0-1.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","294494","0.0-7.0-0.2","1329","","f","","","","","","","","","","","","","key","f","21.900580952380828","673.3333558645869","374.736854644804","j","false","img/C_ambi40.png","朋友","prac",""
"","","","","","html-keyboard-response","16","295004","0.0-7.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","17","296819","0.0-7.0-0.3","804","","j","","","","","","","","","","","","","key","j","21.744012195121485","673.3333558645869","374.736854644804","j","true","img/C_ambi40.png","朋友","prac",""
"","","","","","html-keyboard-response","18","297323","0.0-7.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","19","299014","0.0-7.0-0.4","683","","j","","","","","","","","","","","","","key","j","20.076445783132193","673.3333558645869","374.736854644804","j","true","img/H_ambi40.png","自我","prac",""
"","","","","","html-keyboard-response","20","299519","0.0-7.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","21","301351","0.0-7.0-0.5","821","","f","","","","","","","","","","","","","key","f","22.495737499999812","673.3333558645869","374.736854644804","j","false","img/T_ambi40.png","をる","prac",""
"","","","","","html-keyboard-response","22","301856","0.0-7.0-1.5","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","23","304304","0.0-7.0-0.6","1422","","f","","","","","","","","","","","","","key","f","21.234884955752353","673.3333558645869","374.736854644804","f","true","img/S_ambi40.png","朋友","prac",""
"","","","","","html-keyboard-response","24","304818","0.0-7.0-1.6","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","25","306930","0.0-7.0-0.7","1104","","f","","","","","","","","","","","","","key","f","22.95882222222216","673.3333558645869","374.736854644804","f","true","img/S_ambi40.png","自我","prac",""
"","","","","","html-keyboard-response","26","307445","0.0-7.0-1.7","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","27","309681","0.0-7.0-0.8","1218","","j","","","","","","","","","","","","","key","j","21.150000000000336","673.3333558645869","374.736854644804","j","true","img/T_ambi40.png","をる","prac",""
