"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"true","false","[]","[]","[]","preload","0","1285","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","74161","0.0-1.0","72875","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","enter","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","76161","0.0-2.0","2000","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     ","enter","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","76163","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","81031","0.0-3.0-1.0","4868","","{""Q0"":""30""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","82058","0.0-3.0-2.0","1025","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","87849","0.0-3.0-3.0","5789","","{""Q0"":""2000""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","90452","0.0-3.0-4.0","2603","","{""Q0"":""6""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","270449","0.0-4.0","179995","","","","85.6","53.98","460.47747423638424","5.37625532747192","531.4","9.209549484727685","50","0.8295736955069856","29.64","14.44","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","279529","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","363446","0.0-6.0","83916","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":11663},{""page_index"":1,""viewing_time"":6206},{""page_index"":2,""viewing_time"":52390},{""page_index"":3,""viewing_time"":10275},{""page_index"":4,""viewing_time"":3382}]","","","","","","","","","","","",""
"","","","","","instructions","11","382473","0.0-7.0","19026","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":19026}]","","","","","","","","","","","",""
"","","","","","psychophysics","12","389318","0.0-8.0-0.0-0.0","5841","","f","","","","","","","","","","","","","key","f","16.733281862745105","768","428","f","true","img/S_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","13","389620","0.0-8.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","14","392502","0.0-8.0-0.0-0.1","1878","","f","","","","","","","","","","","","","key","f","16.652354651162884","768","428","j","false","img/C_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","15","392803","0.0-8.0-0.0-1.1","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","16","417815","0.0-8.0-0.0-0.2","null","","null","","","","","","","","","","","","","key","null","16.650680879413738","768","428","d","false","img/S_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","17","418127","0.0-8.0-0.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","18","424900","0.0-8.0-0.0-0.3","5773","","f","","","","","","","","","","","","","key","f","16.651480295566476","768","428","f","true","img/S_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","19","425207","0.0-8.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","20","428500","0.0-8.0-0.0-0.4","2282","","j","","","","","","","","","","","","","key","j","16.652137755101833","768","428","k","false","img/C_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","21","428804","0.0-8.0-0.0-1.4","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","22","453813","0.0-8.0-0.0-0.5","null","","null","","","","","","","","","","","","","key","null","16.65116066666665","768","428","f","false","img/H_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","23","454115","0.0-8.0-0.0-1.5","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","24","479228","0.0-8.0-0.0-0.6","null","","null","","","","","","","","","","","","","key","null","16.651240174672473","740.8","356.8","j","false","img/C_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","25","480238","0.0-8.0-0.0-1.6","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","26","489485","0.0-8.0-0.0-0.7","7254","","d","","","","","","","","","","","","","key","d","16.65195564516128","740.8","356.8","f","false","img/H_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","27","489791","0.0-8.0-0.0-1.7","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","28","514802","0.0-8.0-0.0-0.8","null","","null","","","","","","","","","","","","","key","null","16.65124317121915","740.8","356.8","k","false","img/C_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","29","515104","0.0-8.0-0.0-1.8","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","30","521753","0.0-8.0-0.0-0.9","5647","","d","","","","","","","","","","","","","key","d","16.651701754385915","740.8","356.8","d","true","img/H_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","31","522061","0.0-8.0-0.0-1.9","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","32","524625","0.0-8.0-0.0-0.10","1559","","d","","","","","","","","","","","","","key","d","16.65092810457481","740.8","356.8","d","true","img/H_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","33","524939","0.0-8.0-0.0-1.10","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","34","527724","0.0-8.0-0.0-0.11","1780","","d","","","","","","","","","","","","","key","d","16.651030120481906","740.8","356.8","d","true","img/S_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","35","528027","0.0-8.0-0.0-1.11","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","html-keyboard-response","36","538665","0.0-8.0-1.0-0.0","10636","<style>.context{color:white; font-size: 35px; line-height:40px}</style>                              <div><p class='context'>您正确回答了42% 的试次。</p><p class='context'>您的平均反应时为4120毫秒。</p>","escape","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","37","603464","0.0-8.0-1.0-1.0","64797","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":46353},{""page_index"":1,""viewing_time"":12897},{""page_index"":2,""viewing_time"":5548}]","","","","","","","","","","","",""
"","","","","","psychophysics","38","607031","0.0-8.1-0.1-0.12","2562","","d","","","","","","","","","","","","","key","d","16.651140845070284","768","428","d","true","img/S_28.png","朋友","freeprac_self","",""
"","","","","","html-keyboard-response","39","607332","0.0-8.1-0.1-1.12","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","40","609333","0.0-8.1-0.1-0.13","996","","d","","","","","","","","","","","","","key","d","16.65210084033594","768","428","d","true","img/H_28.png","生人","freeprac_self","",""
"","","","","","html-keyboard-response","41","609639","0.0-8.1-0.1-1.13","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","42","611361","0.0-8.1-0.1-0.14","711","","k","","","","","","","","","","","","","key","k","16.650460784313243","768","428","k","true","img/C_28.png","自我","freeprac_self","",""
"","","","","","html-keyboard-response","43","611673","0.0-8.1-0.1-1.14","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","44","614900","0.0-8.1-0.1-0.15","2217","","d","","","","","","","","","","","","","key","d","16.652041450777414","768","428","d","true","img/H_28.png","生人","freeprac_self","",""
