"subj_idx","朋友_match_friend","生人_match_friend","自我_match_friend","朋友_match_self","生人_match_self","自我_match_self","朋友_match_stranger","生人_match_stranger","自我_match_stranger","朋友_mismatch_friend","生人_mismatch_friend","自我_mismatch_friend","朋友_mismatch_self","生人_mismatch_self","自我_mismatch_self","朋友_mismatch_stranger","生人_mismatch_stranger","自我_mismatch_stranger"
1,0.8833333333333333,0.8166666666666667,0.9333333333333333,0.9666666666666667,0.85,0.9666666666666667,0.85,0.8833333333333333,0.9666666666666667,0.7666666666666667,0.7833333333333333,0.8,0.8833333333333333,0.9166666666666666,0.8833333333333333,0.9666666666666667,0.7833333333333333,0.9166666666666666
3,0.9,0.8833333333333333,0.75,0.8666666666666667,0.6,0.9333333333333333,0.85,0.9,0.9,0.7333333333333333,0.9666666666666667,0.8833333333333333,0.6,0.8833333333333333,0.7666666666666667,0.8333333333333334,0.8333333333333334,0.9166666666666666
5,0.9333333333333333,0.8833333333333333,0.6666666666666666,0.85,0.8833333333333333,0.8166666666666667,0.9,0.8333333333333334,0.7,0.8,0.6833333333333333,0.7666666666666667,0.7,0.6833333333333333,0.7,0.7333333333333333,0.7666666666666667,0.75
6,1,0.85,0.95,0.9833333333333333,0.8666666666666667,1,0.9833333333333333,0.9166666666666666,1,0.85,0.7833333333333333,0.85,0.95,0.9666666666666667,0.95,0.8666666666666667,0.7833333333333333,0.8333333333333334
7,0.9833333333333333,0.8833333333333333,0.9833333333333333,0.9666666666666667,0.8833333333333333,0.9833333333333333,0.8666666666666667,0.9,0.9666666666666667,0.7166666666666667,0.8,0.8666666666666667,0.75,0.9166666666666666,0.8166666666666667,0.7833333333333333,0.9166666666666666,0.85
9,0.9,0.9,0.95,0.95,0.9666666666666667,1,0.9833333333333333,0.9833333333333333,0.9333333333333333,0.85,0.9166666666666666,0.8166666666666667,0.9666666666666667,0.9833333333333333,0.8333333333333334,0.9333333333333333,0.9333333333333333,0.9666666666666667
10,0.9166666666666666,0.7666666666666667,0.9,0.8833333333333333,0.8333333333333334,0.8833333333333333,0.8333333333333334,0.85,0.9166666666666666,0.55,0.95,0.9,0.8166666666666667,0.9,0.6,0.75,0.5166666666666667,0.9333333333333333
11,0.95,0.9,0.9166666666666666,1,0.8,0.9166666666666666,0.9333333333333333,0.9333333333333333,0.8833333333333333,0.7833333333333333,0.8,0.8666666666666667,0.8666666666666667,0.9833333333333333,0.8333333333333334,0.95,0.7333333333333333,0.9
15,0.9,0.9166666666666666,0.9166666666666666,0.8666666666666667,0.9833333333333333,1,0.9833333333333333,0.9166666666666666,0.9833333333333333,0.6166666666666667,0.8666666666666667,0.9333333333333333,0.9,1,0.8,0.95,0.8666666666666667,0.9166666666666666
16,0.95,0.9333333333333333,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.95,0.9,0.8833333333333333,0.8166666666666667,0.9666666666666667,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.7,0.85,0.75,0.7833333333333333
