"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","LeftLable","RightLable","condition","screen_id"
"true","false","[]","[]","[]","preload","0","20","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","29390","0.0-1.0","29367","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","30985","0.0-2.0","1595","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","30986","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","37114","0.0-3.0-1.0","6124","","{""Q0"":""100""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","38655","0.0-3.0-2.0","1540","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","43341","0.0-3.0-3.0","4685","","{""Q0"":""2001""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","49854","0.0-3.0-4.0","6512","","{""Q0"":""6""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","299451","0.0-4.0","249586","","","","85.6","53.98","417.5337539646817","4.876794246307482","586.28","8.350675079293634","50","0.5987539872552363","29.76","14.8","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","305802","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","338067","0.0-6.0","32262","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":14929},{""page_index"":1,""viewing_time"":4988},{""page_index"":2,""viewing_time"":9786},{""page_index"":3,""viewing_time"":2559}]","","","","","","","","","","","",""
"","","","","","instructions","11","353748","0.0-7.0","15680","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":15680}]","","","","","","","","","","","",""
"","","","","","psychophysics","12","360367","0.0-8.0-0.0-0.0","5599","","j","","","","","","","","","","","","","key","j","16.673232323232412","768","428","j","true","img/S_28.png","自我","非自我","freeprac_self",""
"","","","","","html-keyboard-response","13","360679","0.0-8.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","14","362382","0.0-8.0-0.0-0.1","702","","f","","","","","","","","","","","","","key","f","16.669306930692837","768","428","f","true","img/H_28.png","自我","非自我","freeprac_self",""
"","","","","","html-keyboard-response","15","362689","0.0-8.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","16","364245","0.0-8.0-0.0-0.2","547","","j","","","","","","","","","","","","","key","j","16.67499999999975","768","428","j","true","img/C_28.png","自我","非自我","freeprac_self",""
"","","","","","html-keyboard-response","17","364547","0.0-8.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","18","366191","0.0-8.0-0.0-0.3","628","","j","","","","","","","","","","","","","key","j","16.67422680412395","768","428","j","true","img/S_28.png","自我","非自我","freeprac_self",""
"","","","","","html-keyboard-response","19","366494","0.0-8.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","20","368124","0.0-8.0-0.0-0.4","625","","j","","","","","","","","","","","","","key","j","16.67422680412395","768","428","j","true","img/C_28.png","自我","非自我","freeprac_self",""
"","","","","","html-keyboard-response","21","368431","0.0-8.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","22","369895","0.0-8.0-0.0-0.5","462","","f","","","","","","","","","","","","","key","f","16.67325581395376","768","428","f","true","img/H_28.png","自我","非自我","freeprac_self",""
"","","","","","html-keyboard-response","23","370198","0.0-8.0-0.0-1.5","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","24","371592","0.0-8.0-0.0-0.6","392","","j","","","","","","","","","","","","","key","j","16.669512195121527","768","428","j","true","img/S_28.png","自我","非自我","freeprac_self",""
"","","","","","html-keyboard-response","25","371896","0.0-8.0-0.0-1.6","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","26","373409","0.0-8.0-0.0-0.7","509","","f","","","","","","","","","","","","","key","f","16.671910112360074","768","428","f","true","img/H_28.png","自我","非自我","freeprac_self",""
"","","","","","html-keyboard-response","27","373713","0.0-8.0-0.0-1.7","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","28","375088","0.0-8.0-0.0-0.8","370","","j","","","","","","","","","","","","","key","j","16.67195121951262","768","428","j","true","img/C_28.png","自我","非自我","freeprac_self",""
"","","","","","html-keyboard-response","29","375399","0.0-8.0-0.0-1.8","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","30","376822","0.0-8.0-0.0-0.9","420","","j","","","","","","","","","","","","","key","j","16.6715058823527","768","428","j","true","img/C_28.png","自我","非自我","freeprac_self",""
"","","","","","html-keyboard-response","31","377133","0.0-8.0-0.0-1.9","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","32","378601","0.0-8.0-0.0-0.10","464","","j","","","","","","","","","","","","","key","j","16.674712643678294","768","428","j","true","img/S_28.png","自我","非自我","freeprac_self",""
"","","","","","html-keyboard-response","33","378911","0.0-8.0-0.0-1.10","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","34","380353","0.0-8.0-0.0-0.11","433","","f","","","","","","","","","","","","","key","f","16.674117647058686","768","428","f","true","img/H_28.png","自我","非自我","freeprac_self",""
"","","","","","html-keyboard-response","35","380669","0.0-8.0-0.0-1.11","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","instructions","36","399469","0.0-9.0","18796","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":18795}]","","","","","","","","","","","",""
"","","","","","psychophysics","37","403268","0.0-10.0-0.0-0.0","2788","","j","","","","","","","","","","","","","key","j","16.67356828193843","768","428","j","true","img/H_28.png","朋友","非朋友","freeprac_self",""
"","","","","","html-keyboard-response","38","403576","0.0-10.0-0.0-1.0","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","39","405197","0.0-10.0-0.0-0.1","615","","f","","","","","","","","","","","","","key","f","16.676041666666304","768","428","f","true","img/C_28.png","朋友","非朋友","freeprac_self",""
"","","","","","html-keyboard-response","40","405506","0.0-10.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","41","407553","0.0-10.0-0.0-0.2","1037","","j","","","","","","","","","","","","","key","j","17.537068965517644","768","428","j","true","img/S_28.png","朋友","非朋友","freeprac_self",""
"","","","","","html-keyboard-response","42","407858","0.0-10.0-0.0-1.2","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","43","410075","0.0-10.0-0.0-0.3","1215","","j","","","","","","","","","","","","","key","j","16.673484848485025","768","428","j","true","img/S_28.png","朋友","非朋友","freeprac_self",""
"","","","","","html-keyboard-response","44","410385","0.0-10.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","45","412199","0.0-10.0-0.0-0.4","801","","j","","","","","","","","","","","","","key","j","16.672897196261683","768","428","j","true","img/H_28.png","朋友","非朋友","freeprac_self",""
"","","","","","html-keyboard-response","46","412507","0.0-10.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","47","414321","0.0-10.0-0.0-0.5","812","","f","","","","","","","","","","","","","key","f","16.673148148148258","768","428","f","true","img/C_28.png","朋友","非朋友","freeprac_self",""
"","","","","","html-keyboard-response","48","414635","0.0-10.0-0.0-1.5","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","49","416185","0.0-10.0-0.0-0.6","550","","j","","","","","","","","","","","","","key","j","16.671428571428955","768","428","j","true","img/S_28.png","朋友","非朋友","freeprac_self",""
