"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","5794","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","9296","0.0-1.0","3502","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","10314","0.0-2.0","1018","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","10315","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","12880","0.0-3.0-1.0","2564","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","18454","0.0-3.0-2.0","5574","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","22900","0.0-3.0-3.0","4444","","{""Q0"":""2003""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","30283","0.0-3.0-4.0","7383","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","81614","0.0-4.0","51329","","","","85.6","53.98","320.7333740473495","3.744410852675425","763.78","6.41466748094699","50","1.321970316495362","33","18.96","","","","","","","","","","","",""
"true","","","","","fullscreen","9","84898","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","150256","0.0-6.0","65358","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":1212},{""page_index"":1,""viewing_time"":60866},{""page_index"":2,""viewing_time"":1857},{""page_index"":3,""viewing_time"":1423}]","","","","","","","","","","",""
"","","","","","psychophysics","11","152771","0.0-7.0-0.0","null","","null","","","","","","","","","","","","","key","null","8.50309523809525","853.3333333333334","529.3333333333334","j","false","img/S_ambi40.png","朋友","prac",""
"","","","","","html-keyboard-response","12","153286","0.0-7.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","155793","0.0-7.0-0.1","null","","null","","","","","","","","","","","","","key","null","8.503689419795242","853.3333333333334","529.3333333333334","j","false","img/C_ambi40.png","生人","prac",""
"","","","","","html-keyboard-response","14","156308","0.0-7.0-1.1","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","157867","0.0-7.0-0.2","554","","j","","","","","","","","","","","","","key","j","8.56303314917135","853.3333333333334","529.3333333333334","f","false","img/S_ambi40.png","自我","prac",""
"","","","","","html-keyboard-response","16","158370","0.0-7.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","17","159596","0.0-7.0-0.3","225","","f","","","","","","","","","","","","","key","f","8.328255172413654","853.3333333333334","529.3333333333334","f","true","img/T_ambi40.png","をる","prac",""
"","","","","","html-keyboard-response","18","160109","0.0-7.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","19","161824","0.0-7.0-0.4","711","","f","","","","","","","","","","","","","key","f","8.333439024390294","853.3333333333334","529.3333333333334","j","false","img/H_ambi40.png","自我","prac",""
"","","","","","html-keyboard-response","20","162336","0.0-7.0-1.4","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","21","163737","0.0-7.0-0.5","400","","j","","","","","","","","","","","","","key","j","8.333664670658562","853.3333333333334","529.3333333333334","f","false","img/H_ambi40.png","生人","prac",""
"","","","","","html-keyboard-response","22","164251","0.0-7.0-1.5","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","23","165988","0.0-7.0-0.6","734","","f","","","","","","","","","","","","","key","f","8.414370731707299","853.3333333333334","529.3333333333334","f","true","img/C_ambi40.png","朋友","prac",""
"","","","","","html-keyboard-response","24","166497","0.0-7.0-1.6","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","25","167824","0.0-7.0-0.7","322","","f","","","","","","","","","","","","","key","f","8.332436708860723","853.3333333333334","529.3333333333334","f","true","img/T_ambi40.png","をる","prac",""
"","","","","","html-keyboard-response","26","168329","0.0-7.0-1.7","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
