"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","word","condition","screen_id"
"true","false","[]","[]","[]","preload","0","16085","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","112681","0.0-1.0","96595","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","115532","0.0-2.0","2850","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","115534","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","127301","0.0-3.0-1.0","11765","","{""Q0"":""008""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","130118","0.0-3.0-2.0","2815","<p style = 'color : white'>您的性别</p>","1","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","137625","0.0-3.0-3.0","7506","","{""Q0"":""2003""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","142736","0.0-3.0-4.0","5110","","{""Q0"":""5""}","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","403266","0.0-4.0","260526","","","","85.6","53.98","400.62535194410395","4.677756240029169","611.11","8.01250703888208","50","0.8786263732234093","25.6","11.34","","","","","","","","","","","",""
"true","","","","","fullscreen","9","406656","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","511216","0.0-6.0","104560","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":8544},{""page_index"":1,""viewing_time"":82382},{""page_index"":2,""viewing_time"":4621},{""page_index"":3,""viewing_time"":9013}]","","","","","","","","","","",""
"","","","","","psychophysics","11","513729","0.0-7.0-0.0","null","","null","","","","","","","","","","","","","key","null","16.65445999999996","640","356","j","false","img/H_ambi40.png","朋友","prac",""
"","","","","","html-keyboard-response","12","514239","0.0-7.0-1.0","null","<span class='add_' style='color:yellow; font-size: 70px;'> 太慢! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","13","516147","0.0-7.0-0.1","906","","f","","","","","","","","","","","","","key","f","16.6528495575221","640","356","f","true","img/C_ambi40.png","朋友","prac",""
"","","","","","html-keyboard-response","14","516660","0.0-7.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","15","518141","0.0-7.0-0.2","479","","j","","","","","","","","","","","","","key","j","16.65200000000054","640","356","f","false","img/S_ambi40.png","自我","prac",""
"","","","","","html-keyboard-response","16","518645","0.0-7.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","17","520265","0.0-7.0-0.3","618","","f","","","","","","","","","","","","","key","f","16.653416666666697","640","356","f","true","img/H_ambi40.png","生人","prac",""
"","","","","","html-keyboard-response","18","520772","0.0-7.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","19","522294","0.0-7.0-0.4","519","","j","","","","","","","","","","","","","key","j","16.654088888889074","640","356","j","true","img/S_ambi40.png","朋友","prac",""
"","","","","","html-keyboard-response","20","522802","0.0-7.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
