"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"true","false","[]","[]","[]","preload","0","98","0.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","91082","0.0-1.0","90983","
     <p>您好，欢迎参加本次实验。</p>
     <p>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</p>
     <p>如果您未见过上述内容，请咨询实验员。</p>
     <p>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
     <p> <div style = ""color: green""><按任意键至下页></div> </p>
     ","d","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","94087","0.0-2.0","3004","
     <p>本实验首先需要您填写一些基本个人信息。</p>
     <p> <div style = ""color: green""><按任意键至下页></div></p>
     "," ","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","call-function","3","94088","0.0-3.0-0.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","4","100878","0.0-3.0-1.0","6787","","{""Q0"":""6""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","102409","0.0-3.0-2.0","1529","<p style = 'color : white'>您的性别</p>","0","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","6","106756","0.0-3.0-3.0","4346","","{""Q0"":""1999""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-html-form","7","110072","0.0-3.0-4.0","3315","","{""Q0"":""6""}","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","virtual-chinrest","8","203383","0.0-4.0","93309","","","","85.6","53.98","445.62223282537354","5.208209846146554","549.19","8.912444656507471","50","1.077145538625085","38.4","18.74","","","","","","","","","","","","",""
"true","","","","","fullscreen","9","207045","0.0-5.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","264017","0.0-6.0","56970","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":5440},{""page_index"":1,""viewing_time"":5521},{""page_index"":2,""viewing_time"":38011},{""page_index"":3,""viewing_time"":5503},{""page_index"":4,""viewing_time"":2495}]","","","","","","","","","","","",""
"","","","","","instructions","11","289334","0.0-7.0","25316","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":25315}]","","","","","","","","","","","",""
"","","","","","psychophysics","12","294436","0.0-8.0-0.0-0.0","4097","","k","","","","","","","","","","","","","key","k","16.64908881578939","960","536","d","false","img/H_28.png","生人","freeprac_self","",""
